name,industry,location,stage,amount_gbp,date
"Monument Bank",FinTech,"London, UK",Series,140492007.00,2025
"FINBOURNE Technology",FinTech,"London, UK","Series B",100000000.00,2024
Form3,FinTech,"London, UK","Series C",46000000.00,2024
Navro,FinTech,"London, UK","Series B",30497000.00,2025
Juice,FinTech,"London, UK",Venture,24664727.00,2025
Yonder,FinTech,"London, UK",Venture,23400000.00,2024
Apron,FinTech,"London, UK","Series B",22000000.00,2024
Ferovinum,FinTech,"London, UK","Series A",18027360.00,2024
"BMLL Technologies",FinTech,"London, UK","Series B",16000000.00,2024
Origin,InsurTech,"London, UK","Series A",15621900.00,2025
Filed,FinTech,"London, UK",Seed,12793604.00,2025
Penfold,FinTech,"London, UK",Venture,3897512.00,2025
Auquan,FinTech,"London, UK",Seed,3719000.00,2024
Ontik,FinTech,"London, UK",Seed,2752115.00,2025
Loxa,InsurTech,"London, UK",Seed,1666347.00,2025
BVNK,FinTech,"London, UK","Series B",0.00,2025
"Puma Property Finance",FinTech,"London, UK","Private Equity",0.00,2025
