name,sector_name,stage,location,amount_gbp
"Monument Bank","Financial and Insurance",Series,"London, UK",140492007.00
Vertice,"Information and Communication",Series,"London, UK",81560705.00
"Robin AI","Information and Communication",Series,"London, UK",56766885.00
"Lindus Health","Health and Social Work",Series,"London, UK",52866870.00
Form3,"Financial and Insurance","Series C","London, UK",46000000.00
Manual,"Health and Social Work",Venture,"London, UK",29000000.00
Juice,"Financial and Insurance",Venture,"London, UK",24664727.00
Datamaran,"Information and Communication","Series C","London, UK",24545400.00
Yonder,"Financial and Insurance",Venture,"London, UK",23400000.00
Cronofy,"Information and Communication",Venture,"London, UK",14849941.00
AscendX,"Information and Communication",Venture,"London, UK",4410583.00
Penfold,"Financial and Insurance",Venture,"London, UK",3897512.00
"Upfront Diagnostics","Health and Social Work",Venture,"London, UK",3198770.00
Cyacomb,"Information and Communication",Venture,"London, UK",2187360.00
Envoke,"Information and Communication",Venture,"London, UK",996826.00
Nothreat,"Information and Communication","Equity Crowdfunding","London, UK",12648.00
"Puma Property Finance","Financial and Insurance","Private Equity","London, UK",0.00
"Azura Partners","Health and Social Work","Private Equity","London, UK",0.00
"Super Banana","Information and Communication",Venture,"London, UK",0.00
"The Networking People","Information and Communication","Private Equity","London, UK",0.00
"Definition Health","Health and Social Work",Pre-Seed,"London, UK",5750000.00
Dex,"Information and Communication",Pre-Seed,"London, UK",2418000.00
Anam.ai,"Information and Communication",Pre-Seed,"London, UK",1710740.00
"MindSpire Ltd","Information and Communication",Pre-Seed,"London, UK",847905.00
Nia,"Information and Communication",Pre-Seed,"London, UK",635915.00
"AVIEL Intelligence","Information and Communication",Pre-Seed,"London, UK",364260.00
Platter,"Information and Communication",Pre-Seed,"London, UK",345913.00
FUSS,"Information and Communication",Pre-Seed,"London, UK",0.00
Filed,"Financial and Insurance",Seed,"London, UK",12793604.00
"iGent AI","Information and Communication",Seed,"London, UK",6300000.00
Sprive,"Information and Communication",Seed,"London, UK",5487804.00
"Valarian Technologies","Health and Social Work",Seed,"London, UK",5206705.00
"Arda Biomaterials","Health and Social Work",Seed,"London, UK",4095000.00
Auquan,"Financial and Insurance",Seed,"London, UK",3719000.00
Ontik,"Financial and Insurance",Seed,"London, UK",2752115.00
Loxa,"Financial and Insurance",Seed,"London, UK",1666347.00
"AMPLY Discovery","Information and Communication",Seed,"London, UK",1301308.00
"PES Technologies","Health and Social Work",Seed,"London, UK",1286903.00
"Etiq AI","Information and Communication",Seed,"London, UK",780000.00
"Pearl Social","Information and Communication",Seed,"London, UK",743625.00
"Ulla Technology","Information and Communication",Seed,"London, UK",523380.00
"Spotlight Pathology","Health and Social Work",Seed,"London, UK",424107.00
"Community Wolf","Information and Communication",Seed,"London, UK",337771.00
TEDGE,"Information and Communication",Seed,"London, UK",22317.00
"Novatus Global","Information and Communication","Series A","London, UK",29752000.00
Ferovinum,"Financial and Insurance","Series A","London, UK",18027360.00
11x,"Information and Communication","Series A","London, UK",17851200.00
Origin,"Financial and Insurance","Series A","London, UK",15621900.00
StackOne,"Information and Communication","Series A","London, UK",14875500.00
Autone,"Information and Communication","Series A","London, UK",12644600.00
Ravio,"Information and Communication","Series A","London, UK",8926800.00
Doubleword,"Information and Communication","Series A","London, UK",8880196.00
"Q5D Technology","Information and Communication","Series A","London, UK",4464000.00
"Mindtech Global","Information and Communication","Series A","London, UK",4400000.00
"Insight Surgery","Health and Social Work","Series A","London, UK",1859637.00
"FINBOURNE Technology","Financial and Insurance","Series B","London, UK",100000000.00
Doccla,"Health and Social Work","Series B","London, UK",35000000.00
Granola,"Information and Communication","Series B","London, UK",31991355.00
Navro,"Financial and Insurance","Series B","London, UK",30497000.00
Raycast,"Information and Communication","Series B","London, UK",23400900.00
Apron,"Financial and Insurance","Series B","London, UK",22000000.00
"BMLL Technologies","Financial and Insurance","Series B","London, UK",16000000.00
BVNK,"Financial and Insurance","Series B","London, UK",0.00
"XY Miners","Information and Communication","Series B","London, UK",0.00
