sector_name,name,industry,location,stage,amount_gbp,date
"Financial and Insurance","Monument Bank",FinTech,"London, UK",Series,140492007.00,2025
"Financial and Insurance","FINBOURNE Technology",FinTech,"London, UK","Series B",100000000.00,2024
"Information and Communication",Vertice,SaaS,"London, UK",Series,81560705.00,2025
"Information and Communication","Robin AI",AI,"London, UK",Series,56766885.00,2025
"Financial and Insurance",Form3,FinTech,"London, UK","Series C",46000000.00,2024
"Information and Communication",Granola,AI,"London, UK","Series B",31991355.00,2025
"Financial and Insurance",Navro,FinTech,"London, UK","Series B",30497000.00,2025
"Information and Communication","Novatus Global",SaaS,"London, UK","Series A",29752000.00,2024
"Financial and Insurance",Juice,FinTech,"London, UK",Venture,24664727.00,2025
"Information and Communication",Datamaran,AI/SaaS,"London, UK","Series C",24545400.00,2024
"Information and Communication",Raycast,SaaS,"London, UK","Series B",23400900.00,2024
"Financial and Insurance",Yonder,FinTech,"London, UK",Venture,23400000.00,2024
"Financial and Insurance",Apron,FinTech,"London, UK","Series B",22000000.00,2024
"Financial and Insurance",Ferovinum,FinTech,"London, UK","Series A",18027360.00,2024
"Information and Communication",11x,AI,"London, UK","Series A",17851200.00,2024
"Financial and Insurance","BMLL Technologies",FinTech,"London, UK","Series B",16000000.00,2024
"Financial and Insurance",Origin,InsurTech,"London, UK","Series A",15621900.00,2025
"Information and Communication",StackOne,SaaS,"London, UK","Series A",14875500.00,2025
"Information and Communication",Cronofy,SaaS,"London, UK",Venture,14849941.00,2025
"Financial and Insurance",Filed,FinTech,"London, UK",Seed,12793604.00,2025
"Information and Communication",Autone,AI/SaaS,"London, UK","Series A",12644600.00,2024
"Information and Communication",Ravio,Marketplace,"London, UK","Series A",8926800.00,2025
"Information and Communication",Doubleword,AI,"London, UK","Series A",8880196.00,2025
"Information and Communication","iGent AI",AI/SaaS,"London, UK",Seed,6300000.00,2024
"Information and Communication",Sprive,SaaS,"London, UK",Seed,5487804.00,2025
Manufacturing,"Solena Materials",Materials,"London, UK",Seed,4984230.00,2025
"Information and Communication","Q5D Technology",CyberSecurity,"London, UK","Series A",4464000.00,2025
"Wholesale and Retail Trade, Repairs",RetailBook,Retail,"London, UK","Series A",4411327.00,2025
"Information and Communication",AscendX,SaaS,"London, UK",Venture,4410583.00,2025
"Information and Communication","Mindtech Global",AI/DeepTech,"London, UK","Series A",4400000.00,2024
"Professional, Scientific and Technical",Workbuzz,HR,"London, UK",Venture,3956890.00,2025
"Professional, Scientific and Technical",S4labour,HR,"London, UK","Private Equity",3949364.00,2025
"Financial and Insurance",Penfold,FinTech,"London, UK",Venture,3897512.00,2025
"Financial and Insurance",Auquan,FinTech,"London, UK",Seed,3719000.00,2024
"Wholesale and Retail Trade, Repairs","Cult Mia",E-commerce,"London, UK",Seed,3719000.00,2024
"Wholesale and Retail Trade, Repairs",Gardin,Consumer,"London, UK",Seed,3347257.00,2025
"Financial and Insurance",Ontik,FinTech,"London, UK",Seed,2752115.00,2025
"Information and Communication",Dex,SaaS,"London, UK",Pre-Seed,2418000.00,2025
"Information and Communication",Cyacomb,CyberSecurity,"London, UK",Venture,2187360.00,2025
Manufacturing,"Materials Market",Materials,"London, UK",Venture,1985454.00,2025
"Information and Communication",Anam.ai,AI,"London, UK",Pre-Seed,1710740.00,2024
Manufacturing,NCIMB,Manufacturing,"London, UK","Private Equity",1695845.00,2025
"Financial and Insurance",Loxa,InsurTech,"London, UK",Seed,1666347.00,2025
"Information and Communication","AMPLY Discovery","Social Network","London, UK",Seed,1301308.00,2025
"Information and Communication",Envoke,AI/VR,"London, UK",Venture,996826.00,2025
"Information and Communication","MindSpire Ltd",SaaS,"London, UK",Pre-Seed,847905.00,2025
"Information and Communication","Etiq AI",AI/Data,"London, UK",Seed,780000.00,2025
"Information and Communication","Pearl Social","Social Network","London, UK",Seed,743625.00,2025
"Information and Communication",Nia,AI/SaaS,"London, UK",Pre-Seed,635915.00,2025
"Information and Communication","Ulla Technology",AI,"London, UK",Seed,523380.00,2025
"Wholesale and Retail Trade, Repairs",Birl,E-commerce,"Liverpool, UK",Pre-Seed,500000.00,2024
"Wholesale and Retail Trade, Repairs",POTR,Consumer,"London, UK",Venture,498413.00,2025
"Information and Communication","AVIEL Intelligence",AI,"London, UK",Pre-Seed,364260.00,2025
"Information and Communication",Platter,Marketing,"London, UK",Pre-Seed,345913.00,2025
"Information and Communication","Community Wolf",SaaS,"London, UK",Seed,337771.00,2025
"Wholesale and Retail Trade, Repairs","Some Grub",Food,"London, UK",Pre-Seed,268517.00,2025
"Wholesale and Retail Trade, Repairs","Zeus Sleep",Consumer,"London, UK",Seed,148767.00,2025
"Information and Communication",TEDGE,SaaS,"London, UK",Seed,22317.00,2025
"Information and Communication",Nothreat,CyberSecurity,"London, UK","Equity Crowdfunding",12648.00,2025
"Information and Communication",FUSS,SaaS,"London, UK",Pre-Seed,0.00,2025
"Financial and Insurance",BVNK,FinTech,"London, UK","Series B",0.00,2025
"Information and Communication","The Networking People",Telecommunications,"London, UK","Private Equity",0.00,2025
"Financial and Insurance","Puma Property Finance",FinTech,"London, UK","Private Equity",0.00,2025
"Information and Communication","XY Miners",Blockchain,"London, UK","Series B",0.00,2025
"Wholesale and Retail Trade, Repairs",MAGIC,Consumer,"Chigwell, UK",Series,0.00,2025
"Information and Communication","Super Banana",Gaming,"London, UK",Venture,0.00,2025
