tax_year,sector_name,total_raised_millions
2022-23,"Information and Communication",782
2022-23,"Professional, Scientific and Technical",391
2022-23,Manufacturing,303
2022-23,"Wholesale and Retail Trade, Repairs",168
2022-23,"Financial and Insurance",113
2022-23,"Admin and Support Services, Public Admin, Defence and Social Services",109
2022-23,"Accommodation and Food",50
2022-23,"Other services activities, Households, Overseas",49
2022-23,"Health and Social Work",46
2022-23,"Arts, Entertainment and Recreation",34
2022-23,Education,22
2022-23,"Electricity, Gas, Steam and Air Conditioning, Water, Sewerage and Waste",17
2022-23,Construction,17
2022-23,"Agriculture, Forestry and Fishing, Mining and Quarrying",17
2022-23,"Transport and Storage",10
2022-23,"Real Estate",4
2022-23,"Unknown Sic2007",1
2023-24,"Information and Communication",646
2023-24,"Professional, Scientific and Technical",332
2023-24,Manufacturing,238
2023-24,"Wholesale and Retail Trade, Repairs",161
2023-24,"Financial and Insurance",120
2023-24,"Admin and Support Services, Public Admin, Defence and Social Services",90
2023-24,"Other services activities, Households, Overseas",48
2023-24,"Accommodation and Food",42
2023-24,"Health and Social Work",42
2023-24,"Arts, Entertainment and Recreation",35
2023-24,Education,20
2023-24,"Transport and Storage",14
2023-24,"Electricity, Gas, Steam and Air Conditioning, Water, Sewerage and Waste",13
2023-24,Construction,8
2023-24,"Agriculture, Forestry and Fishing, Mining and Quarrying",7
2023-24,"Real Estate",3
2023-24,"Unknown Sic2007",0
2024-25,"Information and Communication",665
2024-25,"Professional, Scientific and Technical",369
2024-25,Manufacturing,276
2024-25,"Wholesale and Retail Trade, Repairs",148
2024-25,"Financial and Insurance",92
2024-25,"Admin and Support Services, Public Admin, Defence and Social Services",75
2024-25,"Accommodation and Food",44
2024-25,"Health and Social Work",43
2024-25,"Other services activities, Households, Overseas",41
2024-25,"Arts, Entertainment and Recreation",39
2024-25,Education,15
2024-25,"Electricity, Gas, Steam and Air Conditioning, Water, Sewerage and Waste",13
2024-25,"Transport and Storage",10
2024-25,Construction,10
2024-25,"Agriculture, Forestry and Fishing, Mining and Quarrying",9
2024-25,"Real Estate",4
2024-25,"Unknown Sic2007",0
