name,industry,location,stage,amount_gbp,date
"Lindus Health",HealthTech,"London, UK",Series,52866870.00,2025
Doccla,HealthTech,"London, UK","Series B",35000000.00,2024
Manual,HealthTech,"London, UK",Venture,29000000.00,2024
"Definition Health",HealthTech,"London, UK",Pre-Seed,5750000.00,2024
"Valarian Technologies",BioTech,"London, UK",Seed,5206705.00,2025
"Arda Biomaterials",BioTech,"London, UK",Seed,4095000.00,2025
"Upfront Diagnostics",HealthTech,"London, UK",Venture,3198770.00,2025
"Insight Surgery",HealthTech,"London, UK","Series A",1859637.00,2025
"PES Technologies",HealthTech,"London, UK",Seed,1286903.00,2025
"Spotlight Pathology",HealthTech,"London, UK",Seed,424107.00,2025
"Azura Partners",HealthTech,"London, UK","Private Equity",0.00,2025
