name,industry,location,stage,amount_gbp,date
Vertice,SaaS,"London, UK",Series,81560705.00,2025
"Robin AI",AI,"London, UK",Series,56766885.00,2025
Granola,AI,"London, UK","Series B",31991355.00,2025
"Novatus Global",SaaS,"London, UK","Series A",29752000.00,2024
Datamaran,AI/SaaS,"London, UK","Series C",24545400.00,2024
Raycast,SaaS,"London, UK","Series B",23400900.00,2024
11x,AI,"London, UK","Series A",17851200.00,2024
StackOne,SaaS,"London, UK","Series A",14875500.00,2025
Cronofy,SaaS,"London, UK",Venture,14849941.00,2025
Autone,AI/SaaS,"London, UK","Series A",12644600.00,2024
Ravio,Marketplace,"London, UK","Series A",8926800.00,2025
Doubleword,AI,"London, UK","Series A",8880196.00,2025
"iGent AI",AI/SaaS,"London, UK",Seed,6300000.00,2024
Sprive,SaaS,"London, UK",Seed,5487804.00,2025
"Q5D Technology",CyberSecurity,"London, UK","Series A",4464000.00,2025
AscendX,SaaS,"London, UK",Venture,4410583.00,2025
"Mindtech Global",AI/DeepTech,"London, UK","Series A",4400000.00,2024
Dex,SaaS,"London, UK",Pre-Seed,2418000.00,2025
Cyacomb,CyberSecurity,"London, UK",Venture,2187360.00,2025
Anam.ai,AI,"London, UK",Pre-Seed,1710740.00,2024
"AMPLY Discovery","Social Network","London, UK",Seed,1301308.00,2025
Envoke,AI/VR,"London, UK",Venture,996826.00,2025
"MindSpire Ltd",SaaS,"London, UK",Pre-Seed,847905.00,2025
"Etiq AI",AI/Data,"London, UK",Seed,780000.00,2025
"Pearl Social","Social Network","London, UK",Seed,743625.00,2025
Nia,AI/SaaS,"London, UK",Pre-Seed,635915.00,2025
"Ulla Technology",AI,"London, UK",Seed,523380.00,2025
"AVIEL Intelligence",AI,"London, UK",Pre-Seed,364260.00,2025
Platter,Marketing,"London, UK",Pre-Seed,345913.00,2025
"Community Wolf",SaaS,"London, UK",Seed,337771.00,2025
TEDGE,SaaS,"London, UK",Seed,22317.00,2025
Nothreat,CyberSecurity,"London, UK","Equity Crowdfunding",12648.00,2025
"Super Banana",Gaming,"London, UK",Venture,0.00,2025
"XY Miners",Blockchain,"London, UK","Series B",0.00,2025
"The Networking People",Telecommunications,"London, UK","Private Equity",0.00,2025
FUSS,SaaS,"London, UK",Pre-Seed,0.00,2025
