sector_name,location,company_count
Construction,"London, UK",2
Education,"London, UK",1
"Electricity, Gas, Steam and Air Conditioning, Water, Sewerage and Waste","London, UK",12
"Financial and Insurance","London, UK",17
"Health and Social Work","London, UK",11
"Information and Communication","London, UK",36
Manufacturing,"London, UK",3
"Professional, Scientific and Technical","London, UK",2
"Transport and Storage","London, UK",4
"Wholesale and Retail Trade, Repairs","London, UK",6
"Wholesale and Retail Trade, Repairs","Chigwell, UK",1
"Wholesale and Retail Trade, Repairs","Liverpool, UK",1
