Company,Location,Industry,Website,Stage,Amount,Lead Investor,Date
Ulla Technology,"London, UK",AI,https://ulla.bot,Seed,"523,380.00",Not specified,2025
AVIEL Intelligence,"London, UK",AI,https://www.aviel.tech,Pre-Seed,"364,260.00",Not specified,2025
Etiq AI,"London, UK",AI/Data,https://www.etiq.ai,Seed,"780,000.00",Not specified,2025
Arda Biomaterials,"London, UK",BioTech,https://www.arda.bio,Seed,"4,095,000.00",Not specified,2025
FUSS,"London, UK",SaaS,https://fuss-world.io,Pre-Seed,0.00,Not specified,2025
Dex,"London, UK",SaaS,https://meetdex.ai,Pre-Seed,"2,418,000.00",Not specified,2025
Ceto,"London, UK",Marine,https://ceto.ai,Seed,"3,792,000.00",Not specified,2025
Navro,"London, UK",FinTech,https://navro.com,Series B,"30,497,000.00",Not specified,2025
Spotlight Pathology,"London, UK",HealthTech,https://www.spotlightpathology.com,Seed,"424,107.00",Not specified,2025
Azura Partners,"London, UK",HealthTech,https://www.azura.com,Private Equity,0.00,Not specified,2025
Workbuzz,"London, UK",HR,https://www.workbuzz.com,Venture,"3,956,890.00",Not specified,2025
NCIMB,"London, UK",Manufacturing,https://www.ncimb.com,Private Equity,"1,695,845.00",Not specified,2025
Materials Market,"London, UK",Materials,https://materialsmarket.com,Venture,"1,985,454.00",Not specified,2025
Sprive,"London, UK",SaaS,https://sprive.com,Seed,"5,487,804.00",Not specified,2025
AMPLY Discovery,"London, UK",Social Network,https://amplydiscovery.com,Seed,"1,301,308.00",Not specified,2025
Pearl Social,"London, UK",Social Network,https://apps.apple.com,Seed,"743,625.00",Not specified,2025
The Networking People,"London, UK",Telecommunications,https://tnp.net.uk,Private Equity,0.00,Not specified,2025
Ace Aquatec,"London, UK",Utilities,https://www.aceaquatec.com,Venture,"7,414,539.00",Not specified,2025
Doubleword,"London, UK",AI,https://www.doubleword.ai,Series A,"8,880,196.00",Not specified,2025
Valarian Technologies,"London, UK",BioTech,https://valarian.com,Seed,"5,206,705.00",Not specified,2025
XY Miners,"London, UK",Blockchain,https://xyminers.com,Series B,0.00,Not specified,2025
MindSpire Ltd,"London, UK",SaaS,https://mindspire.co.uk,Pre-Seed,"847,905.00",Not specified,2025
StackOne,"London, UK",SaaS,https://stackone.com,Series A,"14,875,500.00",Not specified,2025
Nia,"London, UK",AI/SaaS,https://www.trynia.ai,Pre-Seed,"635,915.00",Not specified,2025
S4labour,"London, UK",HR,https://www.s4labour.co.uk,Private Equity,"3,949,364.00",Not specified,2025
Tended,"London, UK",Construction,https://www.tended.co.uk,Venture,"1,986,016.00",Not specified,2025
Zeus Sleep,"London, UK",Consumer,https://zeussleeps.com,Seed,"148,767.00",Not specified,2025
Gardin,"London, UK",Consumer,https://www.gardin.co.uk,Seed,"3,347,257.00",Not specified,2025
Breathe Battery Technologies,"London, UK",CleanTech,https://breathebatteries.com,Series B,"15,620,535.00",Not specified,2025
Floral Energy,"London, UK",CleanTech,https://www.floral-energy.com,Seed,0.00,Not specified,2025
BVNK,"London, UK",FinTech,https://bvnk.com,Series B,0.00,Not specified,2025
Juice,"London, UK",FinTech,https://getmejuice.com,Venture,"24,664,727.00",Not specified,2025
Loxa,"London, UK",InsurTech,https://www.loxacover.com,Seed,"1,666,347.00",Not specified,2025
Axe,"London, UK",Logistics,https://joinaxe.io,Pre-Seed,"1,249,760.00",Not specified,2025
Inyanga Marine Projects,"London, UK",Marine,https://inyangamaritime.com,Venture,"1,986,016.00",Not specified,2025
